,postcode
1038,1435
1039,1471
1040,1480
1041,2300
1042,2322
1043,2370
1044,2243
1045,2160
1046,5300
1047,5544
1048,5004
1049,3806
1050,8530
1051,8900
1052,8930
1053,6680
1054,6704
1055,6740
1056,3400
1057,1800
1058,1840
1059,8377
1060,8432
1061,8520
1062,6838
1063,6924
1064,1630
1065,3040
1066,9
1067,3000
1068,1602
1069,3350
1070,1932
1071,3070
1072,5630
1073,5561
1074,5140
1075,5660
1076,5031
1077,5570
1078,3723
1079,3840
1080,3910
1081,8840
1082,6700
1083,6824
1084,9550
1085,9100
1086,9988
1087,9250
1088,9150
1089,9810
1090,9400
1091,4590
1092,4606
1093,4880
1094,4831
1095,4710
1096,4453
1097,6060
1098,7040
1099,6536
1100,7804
1101,6542
1102,6461
1103,7531
1104,7532
1105,1000
1106,1390
1107,2235
1108,1741
1109,1982
1110,9620
1111,9451
1112,9000
1113,4550
1114,4653
1115,4845
1116,7340
1117,7900
1118,7812
1119,7050
1120,7951
1121,1012
1122,1007
1123,1140
1124,1360
1125,1430
1126,1476
1127,1495
1128,2430
1129,2328
1130,2820
1131,2260
1132,2811
1133,2110
1134,5504
1135,5574
1136,3630
1137,3730
1138,8020
1139,8200
1140,8380
1141,8420
1142,8581
1143,6741
1144,6800
1145,6880
1146,6922
1147,6951
1148,6982
1149,1733
1150,1853
1151,1930
1152,3051
1153,1740
1154,3461
1155,4701
1156,6533
1157,7120
1158,7534
1159,7543
1160,7943
1161,6540
1162,7536
1163,7901
1164,7903
1165,7141
1166,1011
1167,1030
1168,1450
1169,1461
1170,2840
1171,5012
1172,5502
1173,5572
1174,5580
1175,3560
1176,3690
1177,6723
1178,6820
1179,6940
1180,1880
1181,1790
1182,3293
1183,1785
1184,9406
1185,9971
1186,9403
1187,9940
1188,9982
1189,9572
1190,9280
1191,4610
1192,4851
1193,4680
1194,4790
1195,4800
1196,4870
1197,4800
1198,4032
1199,5350
1200,5330
1201,5020
1202,3520
1203,3721
1204,8470
1205,8580
1206,6780
1207,9052
1208,9910
1209,4162
1210,4683
1211,4254
1212,4650
1213,4820
1214,4654
1215,4430
1216,6440
1217,7911
1218,7024
1219,7012
1220,6791
1221,6960
1222,1761
1223,7810
1224,1044
1225,1380
1226,2099
1227,2220
1228,2250
1229,2050
1230,2288
