LivingArea,BedroomCount,SwimmingPool,Density,Median_revenue,ConstructionYear,PEB_numerical,StateOfBuilding_numerical,BathroomCount,Kitchen_numerical,Terrace,Garden,Province_numerical
117.0,3,0.0,318.965991577845,21776.6,,6.0,6.0,,7.0,0.0,0.0,1840.0
118.0,3,0.0,1699.45726793099,26129.01,2023.0,7.0,4.0,2.0,,1.0,0.0,2845.0
97.0,2,0.0,2637.62773823713,22846.97,1958.0,6.0,4.0,1.0,3.0,0.0,0.0,2732.0
,2,0.0,1005.98810216844,27129.76,2016.0,7.0,,1.0,3.0,1.0,0.0,3803.0
112.0,3,0.0,530.00559846318,27122.92,2023.0,7.0,4.0,2.0,,1.0,0.0,3803.0
104.0,2,0.0,379.588154294072,28139.755,2023.0,,4.0,1.0,,1.0,0.0,2732.0
104.0,2,0.0,379.588154294072,28139.755,2023.0,,4.0,1.0,,1.0,0.0,2732.0
111.0,2,0.0,379.588154294072,28139.755,2023.0,,4.0,1.0,,1.0,0.0,2732.0
90.0,2,0.0,340.501945781973,27330.32,2022.0,,4.0,1.0,,1.0,0.0,2482.0
116.0,2,0.0,340.501945781973,27330.32,2022.0,,4.0,1.0,,1.0,0.0,2482.0
79.0,1,0.0,379.588154294072,28139.755,2023.0,,4.0,1.0,,1.0,0.0,2732.0
112.0,3,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,1.0,0.0,2845.0
96.0,2,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,1.0,0.0,2845.0
93.0,2,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,0.0,1.0,2845.0
87.0,2,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,1.0,0.0,2845.0
97.0,2,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,0.0,1.0,2845.0
73.0,1,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,1.0,0.0,2845.0
91.0,2,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,0.0,1.0,2845.0
68.0,1,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,1.0,0.0,2845.0
73.0,1,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,1.0,0.0,2845.0
98.0,2,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,0.0,1.0,2845.0
88.0,3,0.0,430.177986539067,27207.83,2009.0,7.0,4.0,2.0,,1.0,0.0,3803.0
180.0,4,0.0,2637.62773823713,22846.97,,6.0,5.0,2.0,,0.0,0.0,2732.0
96.0,2,0.0,448.994631206631,29730.58,,,,,,0.0,0.0,2732.0
92.0,2,0.0,448.994631206631,29730.58,,,,,,0.0,0.0,2732.0
96.0,2,0.0,448.994631206631,29730.58,,,,,,0.0,0.0,2732.0
97.0,2,0.0,1313.17329075932,28796.32,2023.0,7.0,4.0,1.0,,1.0,0.0,3159.0
,1,0.0,978.322262828264,26591.99,,4.0,4.0,1.0,,0.0,0.0,3803.0
220.0,3,0.0,376.162019982388,28262.355,1992.0,6.0,6.0,2.0,,1.0,0.0,2732.0
85.0,1,0.0,1791.19614635041,28634.0,2024.0,,4.0,1.0,3.0,1.0,0.0,3159.0
87.0,2,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,1.0,0.0,2845.0
68.0,1,0.0,154.266739718906,30185.21,2023.0,,4.0,1.0,,1.0,0.0,2845.0
194.0,3,1.0,3763.98883756391,27702.52,1976.0,2.0,6.0,3.0,3.0,1.0,0.0,3370.0
96.0,2,0.0,132.897074564165,22885.43,1968.0,6.0,4.0,1.0,3.0,1.0,0.0,2423.0
98.0,2,0.0,3763.98883756391,27702.52,2022.0,6.0,4.0,1.0,7.0,0.0,1.0,3370.0
85.0,2,0.0,2637.62773823713,22846.97,1970.0,6.0,4.0,1.0,5.0,1.0,0.0,2732.0
122.0,3,0.0,530.00559846318,27122.92,2009.0,7.0,4.0,2.0,,1.0,0.0,3803.0
231.0,4,0.0,530.00559846318,27122.92,2024.0,,4.0,3.0,,0.0,0.0,3803.0
32.0,0,0.0,128.469201486696,25741.18,,3.0,4.0,1.0,3.0,0.0,0.0,2214.0
76.0,2,0.0,416.44626635774,25150.48,,6.0,,2.0,,0.0,0.0,3803.0
103.0,2,0.0,277.014769902196,26384.67,2019.0,7.0,,2.0,7.0,0.0,0.0,3803.0
81.0,2,0.0,430.177986539067,27207.83,2019.0,,,1.0,3.0,0.0,0.0,3803.0
26.0,1,0.0,1078.49810974947,24620.79,,,,,,0.0,0.0,3803.0
96.0,2,0.0,1078.49810974947,24620.79,2007.0,6.0,,1.0,,1.0,0.0,3803.0
95.0,2,0.0,471.306041682915,27846.1,1978.0,6.0,1.0,1.0,3.0,1.0,0.0,2845.0
,2,0.0,416.44626635774,25150.48,1954.0,5.0,,1.0,,0.0,0.0,3803.0
100.0,2,0.0,6981.41118678129,19516.6,2004.0,4.0,,1.0,3.0,1.0,0.0,3370.0
38.0,0,0.0,530.00559846318,27122.92,1984.0,6.0,4.0,0.0,,0.0,0.0,3803.0
91.0,3,1.0,249.941126876809,25476.65,,7.0,4.0,1.0,,1.0,0.0,3803.0
85.0,2,0.0,773.471227019434,28790.79,2007.0,5.0,4.0,2.0,3.0,1.0,0.0,3139.0
80.0,2,0.0,773.471227019434,28790.79,2005.0,6.0,6.0,1.0,3.0,0.0,0.0,3139.0
125.0,1,0.0,46.832037953155,22965.29,2010.0,5.0,4.0,1.0,7.0,1.0,0.0,1840.0
120.0,3,0.0,46.832037953155,22965.29,2010.0,5.0,4.0,1.0,,1.0,1.0,1840.0
68.0,1,0.0,350.940658043649,28809.29,,,,0.0,,0.0,0.0,2845.0
116.0,3,0.0,350.940658043649,28809.29,,,,0.0,,0.0,0.0,2845.0
96.0,2,0.0,350.940658043649,28809.29,,,,0.0,,0.0,0.0,2845.0
130.0,3,0.0,350.940658043649,28809.29,,,,0.0,,0.0,0.0,2845.0
90.0,1,0.0,350.940658043649,28809.29,,,,0.0,,0.0,0.0,2845.0
50.0,0,0.0,8195.96385319164,29267.82,2025.0,6.0,4.0,1.0,7.0,0.0,0.0,3370.0
99.0,2,0.0,350.940658043649,28809.29,,,,0.0,,0.0,0.0,2845.0
106.0,2,0.0,8195.96385319164,29267.82,2025.0,6.0,4.0,2.0,7.0,1.0,0.0,3370.0
136.0,3,0.0,1078.49810974947,24620.79,2023.0,,,3.0,,0.0,0.0,3803.0
136.0,3,0.0,1078.49810974947,24620.79,2023.0,,,3.0,,0.0,0.0,3803.0
99.0,2,0.0,1078.49810974947,24620.79,2023.0,,,1.0,,0.0,0.0,3803.0
132.0,3,0.0,8608.5801063022,22370.945,1978.0,3.0,1.0,2.0,5.0,1.0,0.0,3370.0
96.0,1,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
96.0,1,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,7.0,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,7.0,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
80.0,2,0.0,385.61106751077,28743.49,2022.0,,4.0,1.0,7.0,1.0,0.0,3803.0
40.0,1,0.0,1791.19614635041,28634.0,,,,1.0,3.0,0.0,0.0,3159.0
67.0,2,0.0,830.03020845725,27352.8,,,5.0,1.0,3.0,0.0,0.0,2845.0
104.0,1,0.0,390.670060002663,29120.1,1958.0,6.0,4.0,1.0,5.0,1.0,0.0,2845.0
70.0,2,0.0,530.00559846318,27122.92,1985.0,,4.0,2.0,7.0,1.0,0.0,3803.0
,3,0.0,369.862371670462,30651.78,2012.0,5.0,,2.0,,0.0,0.0,3159.0
88.0,1,0.0,390.670060002663,29120.1,1958.0,7.0,4.0,1.0,5.0,1.0,0.0,2845.0
126.0,1,0.0,390.670060002663,29120.1,1958.0,6.0,4.0,1.0,5.0,1.0,0.0,2845.0
210.0,3,0.0,827.400132206279,24838.59,1974.0,5.0,6.0,1.0,7.0,1.0,0.0,2732.0
,3,0.0,530.00559846318,27122.92,1981.0,6.0,6.0,2.0,,1.0,0.0,3803.0
116.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
38.0,1,0.0,628.239280837039,24135.16,,2.0,4.0,1.0,,1.0,0.0,2214.0
92.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
91.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
102.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
81.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
81.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
97.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
82.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
97.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
94.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
96.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
94.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
95.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
88.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
108.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
96.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
102.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
94.0,2,0.0,345.303649537797,24889.085,,,,1.0,,0.0,0.0,3803.0
